image_id,post_id,date,author_class,author_department,is_anonymous,purpose,target_class,target_department,description,sentiment,target_name_initial
1,0001_01,2026-04-04,,,True,表白,2026届,I,学生物,积极,lxj
2,0002_01,2026-04-04,,,True,寻人,S2802,S,好帅好有气质,积极,hwx
3,0003_01,2026-04-04,,,True,寻人,,I,现在高二国际部,中性,lqx
4,0004_01,2026-02-17,,,True,寻人,,,去年在宁外体育馆黑板上写我们就是奇迹,中性,xzm
6,0006_01,2026-02-04,,,False,寻人,S2704,S,想加微信,积极,zg
7,0007_01,2025-10-29,,,False,寻人,S2806,S,运动会跑步很帅,积极,zSY
8,0008_01,2025-10-29,,,True,提问,,,有复读经历,中性,xz
9,0009_01,2025-10-29,,,False,表白,J2501,J,长得跟个魔丸一样太帅了,积极,jjyq
10,0010_01,2025-10-29,,,True,寻人,S2713,S,,中性,hzx
11,0011_01,2025-08-19,,,True,提问,,,学计算机相关专业,中性,
12,0012_01,2025-08-19,S6G,S,True,寻人,,,在年级群里唱歌，声音特别好听,积极,
13,0013_01,2025-08-19,,,True,推广,,,出售电子版笔记,中性,
14,0014_01,2025-08-19,,,False,寻人,,,找这届高考来浙大宁理的学生,中性,
15,0015_01,2025-08-19,,,False,表白,,,已毕业的学长,积极,
16,0016_01,2025-08-19,,,True,表白,,,已毕业,积极,xz
17,0017_01,2025-05-11,,,True,表白,S2602,S,,积极,cyz
18,0018_01,2025-05-11,S2708,S,True,表白,,,帅，像佐助,积极,xxy
19,0019_01,2025-05-11,S2708,S,False,寻人,,,好可爱,积极,
20,0020_01,2025-05-11,,,False,表白,,I,人帅声甜会振翅,积极,cyx
21,0021_01,2025-05-11,,,True,其他,,,,中性,
22,0022_01,2025-05-10,,,False,表白,S2602,S,想念,积极,cyz
23,0023_01,2025-05-10,,,True,表白,S2708,S,头发卷卷的很可爱,积极,zbr
25,0025_01,2025-05-10,,,True,寻人,,,追线下的小礼物可以送,积极,thbb
26,0026_01,2025-05-10,,,True,寻人,,,打球,中性,
27,0027_01,2025-04-19,,,True,表白,S2706,S,试训时很帅,积极,ph
28,0028_01,2025-04-19,,,True,表白,S2503,S,可爱,积极,skm
29,0029_01,2025-04-19,,,True,寻物,,,捡到红色葫芦手链,中性,
30,0030_01,2025-03-06,S2701,S,True,祝福,S2701,S,特别帅特别优秀温柔,积极,zy
31,0031_01,2025-03-06,,,True,提问,S2503,S,学长,中性,lzb
32,0032_01,2025-03-06,,,True,提问,,,,中性,
33,0033_01,2025-03-06,,,True,寻人,,,模联负责人,中性,nwmldfzr
34,0034_01,2025-01-01,,,True,寻人,J2405,J,需要回宁外,中性,xzx
35,0035_01,2025-01-01,,,True,表白,J2708,J,性格超级好、萌萌的女生、学习好、优秀的宣传委员,积极,tqh
36,0036_01,2025-01-01,,,True,表白,S2704,I,玩第五人格的样子真帅,积极,tzy
38,0038_01,2025-01-01,,,True,表白,,,戴眼镜，随手关门，有教养,积极,
39,0039_01,2025-01-01,,,True,寻人,,S,甩门的样子特别帅,积极,
41,0041_01,2024-12-23,,,True,寻人,S2608,S,跳了butterfly和memories,中性,xzxj
42,0042_01,2024-12-23,,J,True,寻人,,,好帅,积极,xsdc0hxs
